City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
176,Carupano,VE,10.6678,-63.2585,88.27,60,11,9.98,few clouds
177,Berlevag,NO,70.8578,29.0864,49.95,76,75,14.97,broken clouds
178,Gat,IL,31.61,34.7642,83.8,23,0,11.16,clear sky
179,Saint-Philippe,RE,-21.3585,55.7679,69.39,78,41,11.9,scattered clouds
180,Brigham City,US,41.5102,-112.0155,72.48,20,0,8.01,clear sky
181,Nanortalik,GL,60.1432,-45.2371,45.93,79,92,3.89,overcast clouds
182,Plaster Rock,CA,46.9065,-67.39,73.6,54,0,4.32,clear sky
183,Ormara,PK,25.2088,64.6357,83.05,80,13,13.71,few clouds
184,Casper,US,42.8666,-106.3131,45.19,92,100,18.41,overcast clouds
185,Teya,RU,60.3778,92.6267,44.13,91,99,7.05,light rain
186,Comodoro Rivadavia,AR,-45.8667,-67.5,55.26,47,0,19.57,clear sky
187,Butaritari,KI,3.0707,172.7902,81.45,74,99,12.35,light rain
188,Sao Joao Da Barra,BR,-21.6403,-41.0511,84.29,67,4,21.59,clear sky
189,Arraial Do Cabo,BR,-22.9661,-42.0278,89.56,61,0,19.57,clear sky
190,Port Hardy,CA,50.6996,-127.4199,51.98,100,100,5.75,mist
191,Nantucket,US,41.2835,-70.0995,77.11,53,0,13.8,clear sky
192,Galle,LK,6.0367,80.217,78.58,85,99,9.89,overcast clouds
193,Luderitz,NA,-26.6481,15.1594,60.89,74,0,15.75,clear sky
194,La Paz,BO,-16.5,-68.15,60.78,26,20,10.36,few clouds
195,Linxia,CN,35.6003,103.2064,58.32,42,6,5.84,clear sky
196,San Andres,CO,12.5847,-81.7006,87.82,74,40,8.05,scattered clouds
197,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,74.43,26,0,14.18,clear sky
198,Kavieng,PG,-2.5744,150.7967,81.72,73,84,10.49,broken clouds
199,Egvekinot,RU,66.3167,-179.1667,33.04,81,0,1.28,clear sky
200,Tual,ID,-5.6667,132.75,80.64,82,100,15.61,overcast clouds
